ID,Jenis Kelamin,Umur,Pendapatan-per-bulan,skor-pengeluaran,Menikah,Kota,Promo,HariFav,FavFlavor
101,Wanita,49,"Rp13,114,754",52,1,Jakarta,1,Sabtu,2
102,Wanita,32,"Rp33,606,557",86,1,Depok,1,Minggu,6
103,Pria,51,"Rp15,983,606",41,1,Jakarta,2,Minggu,3
104,Pria,19,"Rp12,704,918",55,0,Jakarta,1,Rabu,7
105,Wanita,38,"Rp20,081,967",42,1,Jakarta,2,Senin,8
106,Wanita,33,"Rp29,098,360",95,1,Depok,0,Senin,0
107,Pria,27,"Rp21,311,475",56,1,Jakarta,1,Senin,5
108,Wanita,24,"Rp2,049,180",77,1,Depok,1,Senin,3
109,Wanita,32,"Rp13,524,590",47,1,Jakarta,2,Selasa,6
110,Wanita,21,"Rp19,262,295",42,1,Jakarta,2,Senin,4
111,Wanita,31,"Rp11,475,409",54,1,Jakarta,,Senin,6
112,Pria,36,"Rp29,508,196",92,1,Depok,0,Jumat,0
113,Pria,46,"Rp34,016,393",15,1,Tangerang,3,Selasa,7
114,Pria,60,"Rp6,147,540",4,1,Tangerang,3,Sabtu,4
115,Wanita,58,"Rp2,049,180",15,1,Tangerang,5,Sabtu,8
116,Wanita,51,"Rp11,885,245",50,,Jakarta,1,Minggu,2
117,Wanita,47,"Rp25,819,672",16,1,Tangerang,3,Sabtu,1
118,Wanita,32,"Rp25,000,000",87,1,Depok,1,Kamis,8
119,Wanita,45,"Rp5,327,868",32,1,Tangerang,3,Sabtu,3
120,,49,"Rp9,836,065",28,1,Tangerang,3,Sabtu,7
121,Pria,22,"Rp2,049,180",79,0,Depok,1,Senin,6
122,Pria,18,"Rp13,524,590",59,0,Jakarta,1,Selasa,4
123,Pria,59,"Rp11,475,409",60,1,Jakarta,1,Sabtu,2
124,Wanita,44,"Rp23,770,491",7,1,Tangerang,3,Sabtu,2
125,Pria,39,"Rp22,950,819",75,1,Depok,1,Sabtu,8
126,Wanita,21,"Rp15,983,606",57,0,Jakarta,1,Senin,0
127,Wanita,35,"Rp1,229,508",6,1,Tangerang,3,Selasa,1
128,Pria,38,"Rp15,983,606",55,1,Jakarta,1,Sabtu,1
129,Wanita,20,"Rp9,016,393",75,0,Depok,1,Senin,4
130,Wanita,30,"Rp25,819,672",73,1,Depok,1,Selasa,8
131,Pria,24,"Rp9,426,229",92,1,Depok,0,Selasa,0
